User	Item_tr	Item_te	Rank	Conf_score_tr	Conf_score_te
0	100	222	1	0.61592835	1.3306564
0	423	405	2	1.26358	-0.51953584
0	209	546	3	-0.16432059	-0.052685935
0	154	403	4	0.6546949	-0.3068533
0	405	423	5	0.034628026	2.6065943
0	357	408	6	-1.383722	1.5672011
0	228	258	7	-1.7984403	-1.5828714
0	432	475	8	0.353126	0.2720268
0	403	588	9	-0.1731897	-0.39588064
0	222	294	10	-1.0799786	0.6441912
0	655	367	11	0.456465	0.1997705
0	433	432	12	-1.2905813	0.34506735
0	483	169	13	-1.0064845	-0.51950413
0	475	111	14	1.1730154	-1.1909522
0	514	209	15	-0.116783135	-0.01082783
0	588	393	16	-0.22758134	-1.785427
0	208	597	17	-0.61260146	-0.03783156
0	431	288	18	-2.146303	1.2371365
0	479	189	19	-0.0768513	0.17262478
0	226	568	20	-0.35116354	1.1648717
0	393	298	21	-0.5632256	0.019340657
0	474	402	22	1.5720888	0.14062627
0	258	655	23	-0.043123264	1.292628
0	496	410	24	0.87022656	-1.0003463
0	367	742	25	2.7087123	0.052801445
0	288	472	26	1.8756262	-1.3543766
0	531	274	27	0.13581845	-0.66064656
0	732	385	28	2.6171374	2.4490612
0	515	431	29	2.1220195	1.9132607
0	568	732	30	1.8662428	0.47251236
0	451	386	31	2.1753283	-0.009916478
0	385	473	32	2.8702233	-0.8937752
0	419	275	33	1.7526053	1.1383533
0	582	515	34	2.6146495	2.8637705
0	597	455	35	2.3371086	-0.7012912
0	443	652	36	1.9815007	0.09618227
0	318	433	37	2.8334706	-0.7005669
0	447	283	38	3.09732	0.57007605
0	436	1016	39	1.7673032	3.2276344
0	382	451	40	1.6004494	0.49204415
0	169	559	41	-0.3372935	-0.56004924
0	86	684	42	-1.3521942	1.7017038
0	511	550	43	1.3385515	0.45463172
0	603	636	44	0.12788588	2.437387
0	462	926	45	0.91882604	-0.0068054656
0	546	273	46	-0.43084097	0.6426264
0	480	554	47	-0.25902426	0.8975328
0	527	739	48	0.3834256	-0.69302577
0	435	508	49	-0.83512145	-0.6034226
0	286	271	50	-0.45970407	0.8793215
0	411	384	51	-1.009556	0.43041945
0	402	685	52	-1.2678614	0.6207946
0	654	418	53	0.18157071	-0.086650185
0	428	747	54	0.7558127	-0.10754891
0	498	290	55	0.47975734	-0.9914834
0	421	449	56	-0.46503496	-1.5511603
0	427	450	57	1.7661185	1.4111671
0	484	762	58	0.07226898	1.7954856
0	32	474	59	1.9691052	0.76164407
0	58	382	60	1.0729136	-0.054453105
0	631	286	61	1.7330921	-0.7939453
0	523	748	62	0.056962587	-0.025554806
0	408	1074	63	-0.2523937	0.84659725
0	684	411	64	0.7452763	0.6842375
0	276	501	65	2.1666532	-0.30141094
0	201	276	66	-0.28380972	1.6084815
0	636	746	67	1.0524727	1.7647706
0	855	692	68	0.33370095	1.203399
0	640	531	69	0.8398213	1.1371354
0	508	603	70	1.8402026	0.15983582
0	692	780	71	0.62612855	0.8853954
0	642	412	72	0.3625252	0.84194064
0	652	428	73	1.2155282	1.1346947
0	739	496	74	1.1285734	1.4375852
0	418	318	75	1.1487987	0.28060314
0	429	1012	76	1.5101478	-0.33720925
0	273	709	77	0.6043691	-1.0906556
0	746	281	78	0.45822412	0.2976154
0	293	1028	79	0.26235494	-1.357113
0	1012	399	80	-0.26909685	0.87400174
0	509	313	81	-1.7665541	1.4431849
0	559	820	82	0.014716988	0.38699
0	529	1039	83	0.00068423944	0.12587841
0	660	993	84	-0.78071916	-1.3480426
0	410	710	85	-0.8827342	-1.5585843
0	657	1047	86	-1.309165	0.7031755
0	241	566	87	-1.7055218	0.71184546
0	290	845	88	-0.051871967	0.1518933
0	558	381	89	-0.52779263	-0.88718975
0	171	576	90	-1.3390547	0.89790976
0	294	302	91	0.48072076	2.0860214
0	485	421	92	0.12129383	0.008961997
0	566	527	93	-1.6682637	-0.8258829
0	1073	781	94	-1.2502586	-0.7302887
0	425	1007	95	0.5782676	0.49475232
0	111	358	96	-0.05507695	-0.6318606
0	275	285	97	1.2438374	-0.22699055
0	271	1014	98	-0.12958312	1.0050241
0	650	129	99	-0.84770066	-0.44744787
0	482	596	100	0.8694225	-0.23469943
1	187	514	1	0.028724298	0.053011626
1	514	427	2	-0.4362693	-0.992418
1	172	172	3	-0.7408473	-1.1886705
1	238	238	4	-0.6712633	1.3465061
1	89	187	5	-1.1868644	-0.35314557
1	427	89	6	-0.4794252	-0.13397454
1	183	204	7	-0.68185204	0.83795476
1	79	318	8	-1.2803208	1.6235856
1	318	523	9	-0.791741	2.647353
1	523	517	10	-0.91818327	1.6868451
1	209	209	11	-0.7446232	0.15268756
1	204	79	12	-1.4514049	0.44971648
1	181	183	13	-1.4485388	0.6012601
1	132	443	14	-1.7931497	1.4577576
1	7	423	15	0.80107915	0.8675077
1	661	515	16	1.3574492	0.7765386
1	515	132	17	0.08229816	1.6054919
1	196	47	18	-0.9211069	-1.354547
1	507	210	19	1.5567402	0.48971832
1	28	181	20	1.9770395	1.556384
1	188	196	21	2.2067256	0.82038206
1	423	208	22	1.8869439	1.8924162
1	210	507	23	1.2225214	1.8151532
1	582	152	24	2.4443357	0.3796752
1	506	8	25	-0.5021174	1.506221
1	136	607	26	0.2701246	2.2671494
1	8	213	27	1.1688236	-1.0154359
1	58	202	28	0.24152951	0.8787834
1	659	173	29	-0.30004036	-0.06913765
1	202	212	30	1.1673259	-0.7037584
1	525	58	31	-0.122624256	0.061175987
1	530	528	32	0.68405265	1.327026
1	193	631	33	0.92853504	0.58899426
1	528	516	34	1.939718	-0.8976909
1	520	28	35	0.7494416	-1.2985934
1	433	97	36	0.021057498	1.9663275
1	97	529	37	1.4108666	1.8032188
1	485	14	38	0.31068715	-0.6026431
1	143	659	39	1.4114052	-0.18286814
1	215	485	40	-0.0048196246	0.9056606
1	443	661	41	0.7873086	0.41541016
1	173	642	42	-0.27454588	0.5450262
1	86	481	43	1.6386293	0.35272682
1	288	429	44	-0.11141222	-0.19053468
1	429	526	45	-0.34027123	-0.0016485341
1	177	428	46	-0.38602605	-0.13691062
1	96	492	47	0.08616904	0.1465126
1	492	96	48	-0.60631305	-0.06493288
1	604	177	49	-0.7825116	-0.6035169
1	432	520	50	-0.6290397	-0.18566017
1	265	258	51	-0.94564223	-1.2950456
1	499	855	52	0.5483248	-1.0183375
1	428	735	53	0.19124086	-0.025612624
1	650	171	54	1.5323601	0.06756069
1	55	143	55	2.0263135	0.35471174
1	258	228	56	0.45154208	0.74248976
1	508	193	57	1.3771286	0.18602766
1	228	154	58	1.1203891	0.62458557
1	517	207	59	0.35243446	0.94782364
1	642	499	60	0.5489281	0.21691623
1	190	647	61	0.71395415	0.85391
1	47	367	62	0.64966905	-0.5665804
1	647	1021	63	2.932377	2.5117464
1	469	52	64	2.9173331	0.99442136
1	607	190	65	1.2540846	1.3830065
1	208	732	66	2.8619788	1.5950669
1	152	640	67	-1.9463694	-0.7518258
1	510	163	68	-0.45150432	-1.4536465
1	675	215	69	-1.4484763	-1.4176302
1	855	288	70	-1.6868151	-1.103457
1	121	237	71	-1.974326	-0.5351207
1	42	382	72	-0.9105873	-0.86598426
1	631	303	73	-1.4599782	-1.3278626
1	436	660	74	-1.7661632	-1.1352886
1	52	45	75	-0.6029711	-1.2318183
1	222	524	76	-1.9942313	-1.5600829
1	212	86	77	0.42387718	-1.1462748
1	526	136	78	0.67691344	-0.558623
1	382	494	79	-0.82994175	0.23498803
1	923	512	80	-0.5316055	0.7931484
1	87	653	81	-0.9253216	-1.1277437
1	615	684	82	-0.50803435	-0.84125686
1	660	675	83	-2.0380676	-1.1245661
1	317	923	84	-1.1282097	-0.21647058
1	614	81	85	-0.019438287	-1.7618656
1	1101	131	86	0.31449726	-1.1437038
1	14	268	87	0.4320888	-0.96438056
1	81	65	88	-0.7822292	-0.82009
1	481	646	89	0.3127763	-0.29216158
1	237	151	90	-0.100016356	-0.8603658
1	154	673	91	-0.96011144	-0.9237546
1	591	863	92	-0.39873105	-1.7873123
1	489	121	93	0.0691096	-0.43074656
1	213	632	94	0.39300668	0.47845688
1	641	466	95	-1.4059925	-0.17225675
1	65	506	96	-0.7626663	-0.9996805
1	93	222	97	-1.3673851	-0.22512239
1	419	88	98	-1.0701386	0.59732103
1	241	408	99	-1.1706834	-0.873054
1	425	305	100	-1.4061525	-0.5440946
2	307	307	1	-1.3780172	-0.49720716
2	272	301	2	-0.6646471	1.04442
2	690	326	3	0.15032706	-0.9239718
2	286	332	4	-1.0675464	-1.3984218
2	326	346	5	-1.3160157	-1.3632381
2	327	748	6	-1.450952	-1.2393473
2	301	538	7	-1.4654251	0.97528106
2	331	682	8	-1.2924095	-0.8322709
2	245	306	9	-0.6593162	0.19436885
2	748	331	10	-1.2257777	-1.8177353
