user_id,age_0,age_1,age_2
1,1,0,0
2,0,0,1
3,1,0,0
4,1,0,0
5,1,0,0
6,0,1,0
7,0,0,1
8,0,1,0
9,1,0,0
10,0,0,1
11,0,1,0
12,1,0,0
13,0,0,1
14,0,1,0
15,0,0,1
16,1,0,0
17,1,0,0
18,0,1,0
19,0,1,0
20,0,1,0
21,1,0,0
22,1,0,0
23,1,0,0
24,1,0,0
25,0,1,0
26,0,0,1
27,0,1,0
28,1,0,0
29,0,1,0
30,1,0,0
31,1,0,0
32,1,0,0
33,1,0,0
34,0,1,0
35,1,0,0
36,1,0,0
37,1,0,0
38,1,0,0
39,0,1,0
40,0,1,0
41,1,0,0
42,1,0,0
43,1,0,0
44,1,0,0
45,1,0,0
46,1,0,0
47,0,0,1
48,0,1,0
49,1,0,0
50,1,0,0
51,1,0,0
52,1,0,0
53,1,0,0
54,1,0,0
55,0,1,0
56,1,0,0
57,1,0,0
58,1,0,0
59,0,0,1
60,0,0,1
61,0,1,0
62,1,0,0
63,1,0,0
64,1,0,0
65,0,0,1
66,1,0,0
67,1,0,0
68,1,0,0
69,1,0,0
70,1,0,0
71,0,1,0
72,0,0,1
73,1,0,0
74,0,1,0
75,1,0,0
76,1,0,0
77,1,0,0
78,1,0,0
79,0,1,0
80,1,0,0
81,1,0,0
82,0,0,1
83,0,1,0
84,1,0,0
85,0,0,1
86,1,0,0
87,0,0,1
88,0,0,1
89,0,1,0
90,0,0,1
91,0,0,1
92,1,0,0
93,0,0,1
94,1,0,0
95,1,0,0
96,1,0,0
97,0,1,0
98,0,0,1
99,1,0,0
100,0,1,0
101,1,0,0
102,0,1,0
103,1,0,0
104,1,0,0
105,1,0,0
106,0,0,1
107,0,1,0
108,0,1,0
109,1,0,0
110,1,0,0
111,0,0,1
112,1,0,0
113,0,0,1
114,1,0,0
115,1,0,0
116,0,1,0
117,1,0,0
118,1,0,0
119,1,0,0
120,0,0,1
121,0,0,1
122,1,0,0
123,0,0,1
124,1,0,0
125,1,0,0
126,1,0,0
127,1,0,0
128,1,0,0
129,0,1,0
130,1,0,0
131,0,0,1
132,1,0,0
133,0,0,1
134,1,0,0
135,1,0,0
136,0,0,1
137,0,0,1
138,0,0,1
139,1,0,0
140,1,0,0
141,0,0,1
142,1,0,0
143,0,1,0
144,0,0,1
145,1,0,0
146,0,1,0
147,0,1,0
148,1,0,0
149,0,1,0
150,1,0,0
151,0,1,0
152,1,0,0
153,1,0,0
154,1,0,0
155,1,0,0
156,1,0,0
157,0,0,1
158,0,0,1
159,1,0,0
160,1,0,0
161,0,0,1
162,1,0,0
163,0,0,1
164,0,0,1
165,1,0,0
166,0,0,1
167,0,1,0
168,0,0,1
169,0,0,1
170,0,0,1
171,0,0,1
172,0,0,1
173,0,0,1
174,1,0,0
175,1,0,0
176,1,0,0
177,1,0,0
178,1,0,0
179,1,0,0
180,1,0,0
181,1,0,0
182,0,1,0
183,1,0,0
184,0,1,0
185,0,0,1
186,0,1,0
187,1,0,0
188,0,1,0
189,1,0,0
190,1,0,0
191,1,0,0
192,0,1,0
193,1,0,0
194,0,1,0
195,0,1,0
196,0,0,1
197,0,0,1
198,1,0,0
199,1,0,0
200,0,1,0
201,1,0,0
202,0,1,0
203,1,0,0
204,0,0,1
205,0,0,1
206,1,0,0
207,0,1,0
208,0,1,0
209,1,0,0
210,0,1,0
211,0,0,1
212,0,0,1
213,1,0,0
214,1,0,0
215,0,1,0
216,1,0,0
217,1,0,0
218,0,1,0
219,1,0,0
220,1,0,0
221,1,0,0
222,1,0,0
223,1,0,0
224,1,0,0
225,0,0,1
226,1,0,0
227,0,0,1
228,1,0,0
229,1,0,0
230,1,0,0
231,0,0,1
232,0,1,0
233,0,1,0
234,0,0,1
