user_id,gender_F,gender_M
0,0,1
1,1,0
2,0,1
3,0,1
4,1,0
5,0,1
6,0,1
7,0,1
8,0,1
9,0,1
10,1,0
11,1,0
12,0,1
13,0,1
14,1,0
15,0,1
16,0,1
17,1,0
18,0,1
19,1,0
20,0,1
21,0,1
22,1,0
23,1,0
24,0,1
25,0,1
26,1,0
27,0,1
28,0,1
29,0,1
30,0,1
31,1,0
32,0,1
33,1,0
34,1,0
35,1,0
36,0,1
37,1,0
38,0,1
39,0,1
40,0,1
41,0,1
42,1,0
43,0,1
44,0,1
45,1,0
46,0,1
47,0,1
48,1,0
49,0,1
50,0,1
51,1,0
52,0,1
53,0,1
54,0,1
55,0,1
56,0,1
57,0,1
58,0,1
59,0,1
60,0,1
61,1,0
62,0,1
63,0,1
64,1,0
65,0,1
66,0,1
67,0,1
68,0,1
69,0,1
70,0,1
71,1,0
72,0,1
73,0,1
74,0,1
75,0,1
76,0,1
77,0,1
78,1,0
79,1,0
80,0,1
81,0,1
82,0,1
83,0,1
84,0,1
85,0,1
86,0,1
87,1,0
88,1,0
89,0,1
90,0,1
91,0,1
92,0,1
93,0,1
94,0,1
95,1,0
96,0,1
97,1,0
98,0,1
99,0,1
100,0,1
101,0,1
102,0,1
103,0,1
104,0,1
105,0,1
106,0,1
107,0,1
108,0,1
109,0,1
110,0,1
111,0,1
112,0,1
113,0,1
114,0,1
115,0,1
116,0,1
117,0,1
118,0,1
119,1,0
120,0,1
121,1,0
122,1,0
123,0,1
124,0,1
125,1,0
126,0,1
127,1,0
128,1,0
129,0,1
130,1,0
131,0,1
132,0,1
133,0,1
134,0,1
135,0,1
136,0,1
137,0,1
138,0,1
139,1,0
140,0,1
141,0,1
142,0,1
143,0,1
144,0,1
145,0,1
146,1,0
147,0,1
148,1,0
149,1,0
150,1,0
151,1,0
152,0,1
153,0,1
154,1,0
155,0,1
156,0,1
157,0,1
158,1,0
159,0,1
160,0,1
161,0,1
162,0,1
163,0,1
164,1,0
165,0,1
166,0,1
167,0,1
168,1,0
169,1,0
170,1,0
171,0,1
172,0,1
173,1,0
174,1,0
175,0,1
176,0,1
177,0,1
178,0,1
179,1,0
180,0,1
181,0,1
182,0,1
183,0,1
184,1,0
185,1,0
186,0,1
187,0,1
188,0,1
189,0,1
190,0,1
191,0,1
192,0,1
193,0,1
194,0,1
195,0,1
196,0,1
197,1,0
198,0,1
199,0,1
200,0,1
201,1,0
202,1,0
203,1,0
204,0,1
205,1,0
206,0,1
207,0,1
208,1,0
209,0,1
210,0,1
211,1,0
212,0,1
213,1,0
214,0,1
215,0,1
216,0,1
217,0,1
218,0,1
219,0,1
220,0,1
221,0,1
222,1,0
223,1,0
224,1,0
225,0,1
226,0,1
227,1,0
228,1,0
229,1,0
230,0,1
231,0,1
232,0,1
233,0,1
234,0,1
235,1,0
236,0,1
237,1,0
238,0,1
239,1,0
240,1,0
241,0,1
242,0,1
243,0,1
244,0,1
245,0,1
246,0,1
247,0,1
248,0,1
249,0,1
250,0,1
251,0,1
252,1,0
253,0,1
254,0,1
255,1,0
256,0,1
257,1,0
258,0,1
259,1,0
260,0,1
261,1,0
262,0,1
263,1,0
264,0,1
265,1,0
266,0,1
267,0,1
268,1,0
269,1,0
270,0,1
271,0,1
272,1,0
273,1,0
274,0,1
275,0,1
276,1,0
277,1,0
278,0,1
279,1,0
280,1,0
281,0,1
282,0,1
283,0,1
284,0,1
285,0,1
286,0,1
287,0,1
288,0,1
289,0,1
290,0,1
291,1,0
292,0,1
293,0,1
294,0,1
295,1,0
296,1,0
297,0,1
298,0,1
299,1,0
300,0,1
301,0,1
302,0,1
303,1,0
304,0,1
305,0,1
306,0,1
307,0,1
308,0,1
309,0,1
310,0,1
311,0,1
312,0,1
313,1,0
314,0,1
315,1,0
316,0,1
317,0,1
318,0,1
319,0,1
320,1,0
321,0,1
322,0,1
323,1,0
324,0,1
325,0,1
326,0,1
327,0,1
328,0,1
329,1,0
330,0,1
331,0,1
332,0,1
333,0,1
334,0,1
335,0,1
336,0,1
337,1,0
338,0,1
339,0,1
340,1,0
341,1,0
342,0,1
343,1,0
344,1,0
345,0,1
346,0,1
347,1,0
348,0,1
349,0,1
350,0,1
351,1,0
352,0,1
353,1,0
354,0,1
355,1,0
356,0,1
357,0,1
358,0,1
359,0,1
360,0,1
361,1,0
362,0,1
363,0,1
364,0,1
365,1,0
366,0,1
367,0,1
368,0,1
369,0,1
370,0,1
371,1,0
372,1,0
373,0,1
374,0,1
375,1,0
376,0,1
377,0,1
378,0,1
379,0,1
380,0,1
381,0,1
382,0,1
383,0,1
384,0,1
385,0,1
386,0,1
387,0,1
388,1,0
389,1,0
390,0,1
391,0,1
392,0,1
393,0,1
394,0,1
395,0,1
396,0,1
397,0,1
398,0,1
399,1,0
400,1,0
